Unnamed: 0,index,Year,Type,Country,Area,Location,Activity,Sex of Victim,Age,Injury,Fatal (Y/N),Time,Species,Month,Day,Hour,Day - 6
2.0,2.0,2020,Unprovoked,AUSTRALIA,New South Wales,Windang Beach,Surfing,M,59,Laceration ot left ankle and foot,N,08h00,"""A small shark""",1,17.0,8.0,
3.0,3.0,2020,Unprovoked,NEW ZEALAND,Southland,Oreti Beach,Surfing,F,13,Minor injury to lower leg,N,20h30,Broadnose seven gill shark?,1,16.0,20.0,
4.0,4.0,2020,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,M,26,Lacerations to foot,N,14h33,Unknown,1,13.0,14.0,
5.0,5.0,2020,Unprovoked,THAILAND,Phang Nga Province,Nang Thong Beach,Swimming,M,75,Calf bitten,N,07h15,Unknown,1,12.0,7.0,
6.0,6.0,2020,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,F,7,Lacerations to leg,N,17h30,Lemon shark,1,7.0,17.0,
7.0,7.0,2020,Unprovoked,AUSTRALIA,Western Australia,Cull Island / Esperance,Scuba diving,M,57,FATAL,Y,13h00,White shark,1,5.0,13.0,
9.0,9.0,2020,Questionable,AUSTRALIA,Western Australia,Esperance,Swimming after being swept off rocks,M,21,Probable drowning and scavenging,Y,16h10,Unknown,1,2.0,16.0,
10.0,10.0,2019,Unprovoked,AUSTRALIA,Queensland,North West Island,Swimming,M,35,Minor injury to hand,N,12h58,"Shovelnose ""shark"" which is a ray, not a shark)",12,30.0,12.0,
11.0,11.0,2019,Unprovoked,SEYCHELLES,Praslin,Amitié Beach,Swimming,F,45,Arm bitten,N,19h00,Unknown,12,28.0,19.0,
12.0,12.0,2019,Unprovoked,PAPUA NEW GUINEA,Central Province,Ragelapara reef,Spearfishing,M,33,FATAL,Y,16h30,Unknown,12,26.0,16.0,
14.0,14.0,2019,Unprovoked,NEW ZEALAND,Southland,Oreti Beach,Boogie boarding,M,17,Laceration to thigh,N,19h00,Unknown,12,24.0,19.0,
15.0,15.0,2019,Unprovoked,USA,California,"Santa Rosa Island, Ventura County",Surfing,M,37,Right leg bitten,N,16h15,Unknown,12,21.0,16.0,
18.0,18.0,2019,Unprovoked,AUSTRALIA,Western Australia,Exmouth,Free diving,M,57,Arm bitten,N,09h00,Unknown,12,6.0,9.0,
